Topic,Count,Name,x,y,h,s,v,label,level,parentTopic,isLeaf,nodeType,fieldID,authorID
field_visualization,75882,visualization,0,0,0,0,1,0,0,-1,false,field,visualization,
2147343253,497,Daniel A. Keim,0,1,0,0,1,1,1,field_visualization,false,author,visualization,2147343253
12,194,可视分析研究,14.9657345,8.019659,28.2,0.7711818874146049,1,1,2,2147343253,true,topic,visualization,2147343253
7,166,多维数据分析,8.211511,-1.2753091,351.2,0.3774348724903408,1,3,2,2147343253,true,topic,visualization,2147343253
32,83,文本主题分析,15.271525,6.519494,23.1,0.7541889229407122,1,1,2,2147343253,true,topic,visualization,2147343253
50,77,时空模式分析,2.5171776,1.6362499,33.0,0.1363609717956697,1,7,2,2147343253,true,topic,visualization,2147343253
20,72,网络安全流量,3.2514987,18.062687,79.8,0.8335865311092121,1,4,2,2147343253,true,topic,visualization,2147343253
22,61,时间序列模式,2.4481852,1.5325547,32.0,0.1311859237117162,1,7,2,2147343253,true,topic,visualization,2147343253
49,58,数据标记展示,7.901712,-1.5670072,348.8,0.365881878731554,1,3,2,2147343253,true,topic,visualization,2147343253
27,53,地理空间地图,2.2046309,2.0211008,42.5,0.1358437223951828,1,7,2,2147343253,true,topic,visualization,2147343253
62,45,图像检索数据库,15.38553,6.5948005,23.2,0.760294925346484,1,1,2,2147343253,true,topic,visualization,2147343253
15,44,交通轨迹分析,2.7171602,1.6724432,31.6,0.1449165120536084,1,7,2,2147343253,true,topic,visualization,2147343253
48,44,眼动行为分析,14.491648,7.848218,28.4,0.7485317473284466,1,1,2,2147343253,true,topic,visualization,2147343253
34,41,社媒舆情事件,3.5917752,18.402416,79.0,0.8516023246022995,1,4,2,2147343253,true,topic,visualization,2147343253
668764113,204,Ben Shneiderman,1,1,0,0,1,1,1,field_visualization,false,author,visualization,668764113
0,4892,三维医学影像,2.7601495,11.815851,76.9,0.5511193504949304,1,9,2,668764113,true,topic,visualization,668764113
1,4977,流体涡流实验,-12.099437,18.394249,123.3,1.0,1,5,2,668764113,true,topic,visualization,668764113
2,4232,虚拟现实,-4.1471453,-6.411639,237.1,0.3468224808685314,1,0,2,668764113,true,topic,visualization,668764113
2122423217,550,Kwan-Liu Ma,2,1,0,0,1,1,1,field_visualization,false,author,visualization,2122423217
3,2384,图结构绘制,7.382464,-1.2176439,350.6,0.3398389788415417,1,3,2,2122423217,true,topic,visualization,2122423217
4,1699,城市三维建模,2.1831598,2.0458975,43.1,0.1358941116129734,1,7,2,2122423217,true,topic,visualization,2122423217
5,1936,流场可视化,-12.099425,18.394245,123.3,0.9999995486899044,1,5,2,2122423217,true,topic,visualization,2122423217
2112690490,121,Jeffrey Heer,3,1,0,0,1,1,1,field_visualization,false,author,visualization,2112690490
6,2662,曲面形状算法,-4.2484703,-7.786592,241.4,0.4028812256483124,1,0,2,2112690490,true,topic,visualization,2112690490
8,2147,基因通路分析,10.20755,12.717871,51.2,0.7406855861808982,1,8,2,2112690490,true,topic,visualization,2112690490
9,2686,图像分类识别,8.62028,-2.3571668,344.7,0.4059036333665279,1,3,2,2112690490,true,topic,visualization,2112690490
